Animal,Category
watersnake,Reptiles/Amphibians
agouti,Rodents
beaver,Rodents
blacksquirrel,Rodents
capybara,Rodents
cavy,Rodents
chinchilla,Rodents
chipmunk,Rodents
dormouse,Rodents
flyingsquirrel,Rodents
gerbil,Rodents
goldenmarmot,Rodents
gopher,Rodents
groundhog,Rodents
guineapig,Rodents
hamster,Rodents
hedgehog,Rodents
lemming,Rodents
marmot,Rodents
mole,Rodents
mouse,Rodents
muskrat,Rodents
nakedmolerat,Rodents
porcupine,Rodents
prairiedog,Rodents
rat,Rodents
rodent,Rodents
shrew,Rodents
squirrel,Rodents
woodchuck,Rodents
alga,Wateranimals
alligator,Wateranimals
anemone,Wateranimals
axolotl,Wateranimals
beaver,Wateranimals
beluga,Wateranimals
bluewhale,Wateranimals
boto,Wateranimals
brineshrimp,Wateranimals
clam,Wateranimals
conch,Wateranimals
coral,Wateranimals
cowry,Wateranimals
crab,Wateranimals
crawfish,Wateranimals
crayfish,Wateranimals
dolphin,Wateranimals
eel,Wateranimals
elephantseal,Wateranimals
fish,Wateranimals
frog,Wateranimals
goose,Wateranimals
hammerheadshark,Wateranimals
humpbackwhale,Wateranimals
jellyfish,Wateranimals
killerwhale,Wateranimals
leech,Wateranimals
limpet,Wateranimals
lobster,Wateranimals
manatee,Wateranimals
mantaray,Wateranimals
monster,Wateranimals
muskrat,Wateranimals
mussel,Wateranimals
narwhal,Wateranimals
nautilus,Wateranimals
newt,Wateranimals
octopus,Wateranimals
orca,Wateranimals
otter,Wateranimals
oyster,Wateranimals
penguin,Wateranimals
platypus,Wateranimals
porpoise,Wateranimals
ray,Wateranimals
salamander,Wateranimals
sanddollar,Wateranimals
scallop,Wateranimals
seahorse,Wateranimals
seal,Wateranimals
sealion,Wateranimals
seamonkey,Wateranimals
shark,Wateranimals
slug,Wateranimals
snail,Wateranimals
sponge,Wateranimals
squid,Wateranimals
starfish,Wateranimals
stingray,Wateranimals
tadpole,Wateranimals
toad,Wateranimals
turtle,Wateranimals
urchin,Wateranimals
whale,Wateranimals
badger,Weasels
ferret,Weasels
groundhog,Weasels
marten,Weasels
mink,Weasels
mongoose,Weasels
otter,Weasels
polecat,Weasels
seaotter,Weasels
skunk,Weasels
stoat,Weasels
weasel,Weasels
wolverine,Weasels
