Category,snafu_animal,in_vocab,Item,levenstein_distance
African,hydrax,FALSE,hyrax,1
Bird,albatross,TRUE,albatross,0
Bird,anhinga,TRUE,anhinga,0
Bird,auk,TRUE,auk,0
Bird,avian,TRUE,avian,0
African,orangeroughie,FALSE,orange roughie,1
Bird,bird,TRUE,bird,0
African,pygmygoat,FALSE,pygmy goat,1
Bird,blackbird,TRUE,blackbird,0
African,sandcat,FALSE,sand cat,1
Bird,bluebird,TRUE,bluebird,0
African,seasnake,FALSE,sea snake,1
Bird,bluegill,TRUE,bluegill,0
Arachnid,huntsmanspider,FALSE,huntsman spider,1
Arachnid,vinegaroon,FALSE,vinegarroon,1
Bird,bobolink,TRUE,bobolink,0
Bird,booby,TRUE,booby,0
Bird,budgerigar,TRUE,budgerigar,0
Bird,bullfinch,TRUE,bullfinch,0
Bird,bunting,TRUE,bunting,0
Bird,buzzard,TRUE,buzzard,0
Bird,canary,TRUE,canary,0
Bird,cardinal,TRUE,cardinal,0
Bird,cassowary,TRUE,cassowary,0
Bird,chickadee,TRUE,chickadee,0
Bird,chicken,TRUE,chicken,0
Bird,cock,TRUE,cock,0
Bird,cockatiel,TRUE,cockatiel,0
Bird,cockatoo,TRUE,cockatoo,0
Bird,condor,TRUE,condor,0
Bird,conure,TRUE,conure,0
Bird,coot,TRUE,coot,0
Arachnid,wolfspider,FALSE,wolf spider,1
Bird,crow,TRUE,crow,0
Bird,cuckoo,TRUE,cuckoo,0
Bird,dodo,TRUE,dodo,0
Arctic,adeliepenguin,FALSE,adelie penguin,1
Bird,dove,TRUE,dove,0
Bird,drake,TRUE,drake,0
Bird,duck,TRUE,duck,0
Bird,duckling,TRUE,duckling,0
Bird,eagle,TRUE,eagle,0
Bird,eaglet,TRUE,eaglet,0
Bird,egret,TRUE,egret,0
Bird,emu,TRUE,emu,0
Bird,ewe,TRUE,ewe,0
Bird,falcon,TRUE,falcon,0
Bird,finch,TRUE,finch,0
Arctic,arcticfox,FALSE,arctic fox,1
Bird,flamingo,TRUE,flamingo,0
Bird,fowl,TRUE,fowl,0
Bird,gander,TRUE,gander,0
Arctic,harborseal,FALSE,harbor seal,1
Bird,goldfinch,TRUE,goldfinch,0
Bird,goshawk,TRUE,goshawk,0
Bird,gosling,TRUE,gosling,0
Bird,grackle,TRUE,grackle,0
Bird,grebe,TRUE,grebe,0
Bird,grouse,TRUE,grouse,0
Bird,guineafowl,TRUE,guineafowl,0
Bird,gull,TRUE,gull,0
Bird,halcyon,TRUE,halcyon,0
Bird,harrier,TRUE,harrier,0
Bird,hawk,TRUE,hawk,0
Bird,heron,TRUE,heron,0
Bird,hoatzin,TRUE,hoatzin,0
Arctic,leopardseal,FALSE,leopard seal,1
Bird,hummingbird,TRUE,hummingbird,0
Bird,ibis,TRUE,ibis,0
Bird,jackdaw,TRUE,jackdaw,0
Bird,jay,TRUE,jay,0
Bird,kingfisher,TRUE,kingfisher,0
Bird,kite,TRUE,kite,0
Bird,kiwi,TRUE,kiwi,0
Bird,kookaburra,TRUE,kookaburra,0
Bird,lark,TRUE,lark,0
Bird,loon,TRUE,loon,0
Bird,lorikeet,TRUE,lorikeet,0
Bird,lovebird,TRUE,lovebird,0
Bird,macaw,TRUE,macaw,0
Bird,magpie,TRUE,magpie,0
Bird,mallard,TRUE,mallard,0
Bird,merlin,TRUE,merlin,0
Bird,mockingbird,TRUE,mockingbird,0
Arctic,polarbear,FALSE,polar bear,1
Bird,mouse,TRUE,mouse,0
Bird,myna,TRUE,myna,0
Bird,nightingale,TRUE,nightingale,0
Bird,nuthatch,TRUE,nuthatch,0
Bird,oriole,TRUE,oriole,0
Bird,osprey,TRUE,osprey,0
Bird,ostrich,TRUE,ostrich,0
Bird,owl,TRUE,owl,0
Bird,parakeet,TRUE,parakeet,0
Bird,parrot,TRUE,parrot,0
Bird,partridge,TRUE,partridge,0
Bird,peacock,TRUE,peacock,0
Bird,pelican,TRUE,pelican,0
Bird,penguin,TRUE,penguin,0
Bird,peregrine,TRUE,peregrine,0
Bird,pheasant,TRUE,pheasant,0
Bird,pigeon,TRUE,pigeon,0
Arctic,snowyowl,FALSE,snowy owl,1
Arctic,whitewolf,FALSE,white wolf,1
Bird,puffin,TRUE,puffin,0
Bird,quail,TRUE,quail,0
Bird,quetzal,TRUE,quetzal,0
Bird,raven,TRUE,raven,0
Arctic,woollymammoth,FALSE,woolly mammoth,1
Bird,rhea,TRUE,rhea,0
Bird,roadrunner,TRUE,roadrunner,0
Bird,robin,TRUE,robin,0
Bird,rook,TRUE,rook,0
Asian,easterntoebiter,FALSE,eastern toebiter,1
Bird,sandpiper,TRUE,sandpiper,0
Asian,fennecfox,FALSE,fennec fox,1
Asian,fireant,FALSE,fire ant,1
Bird,seagull,TRUE,seagull,0
